epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,177.826,0.78817,0.43245,0.97566,0.95219,0.99286,0.98511,0.7329,1.05762,0.42226,1.30402,0.000786012,0.000786012,0.000786012
43,181.982,0.79696,0.44463,0.99585,0.94385,0.99471,0.98981,0.7313,1.10474,0.46128,1.32857,0.000783013,0.000783013,0.000783013
44,186.189,0.81377,0.42044,0.98985,0.95258,0.99826,0.9945,0.75377,1.0452,0.39954,1.2601,0.000780013,0.000780013,0.000780013
45,190.138,0.79352,0.4193,0.99615,0.95589,0.99539,0.99147,0.73736,1.12509,0.41803,1.36002,0.000777013,0.000777013,0.000777013
46,194.133,0.79331,0.43674,0.98082,0.94723,0.99286,0.97823,0.72937,1.06611,0.44168,1.24266,0.000774013,0.000774013,0.000774013
47,198.167,0.77944,0.43179,0.975,0.94724,0.99286,0.96438,0.71898,1.04756,0.44743,1.23473,0.000771014,0.000771014,0.000771014
48,202.204,0.79093,0.42432,0.96508,0.94427,0.99333,0.97386,0.72599,1.01142,0.43373,1.24435,0.000768014,0.000768014,0.000768014
49,206.132,0.78005,0.45074,0.98599,0.94778,1,0.97156,0.71016,1.10181,0.43976,1.3063,0.000765014,0.000765014,0.000765014
50,210.166,0.76224,0.41979,0.97885,0.94422,0.99569,0.98348,0.72977,1.05909,0.44612,1.26097,0.000762015,0.000762015,0.000762015
51,214.164,0.78192,0.4282,0.99391,0.94885,0.99602,0.97996,0.74005,1.04691,0.44138,1.24502,0.000759015,0.000759015,0.000759015
52,218.178,0.78953,0.43198,0.99959,0.93792,0.99126,0.98433,0.73768,1.17164,0.46753,1.42544,0.000756015,0.000756015,0.000756015
53,222.129,0.78913,0.42247,0.98362,0.94118,0.99068,0.9816,0.74035,1.05758,0.42011,1.25978,0.000753016,0.000753016,0.000753016
54,226.134,0.77476,0.42584,0.98363,0.94799,0.99013,0.979,0.75063,1.07906,0.43023,1.31461,0.000750016,0.000750016,0.000750016
55,230.348,0.75799,0.39613,0.98471,0.94589,0.98727,0.97516,0.73581,1.05883,0.43235,1.26887,0.000747016,0.000747016,0.000747016
